scenario,zone_id,timestep,clps
surge,zone_1,74,0.754
surge,zone_1,75,0.754
surge,zone_1,76,0.754
surge,zone_1,77,0.754
surge,zone_1,78,0.754
surge,zone_1,79,0.754
surge,zone_1,80,0.812
surge,zone_1,81,0.812
surge,zone_1,82,0.812
surge,zone_1,83,0.812
surge,zone_1,84,0.812
surge,zone_1,85,0.812
surge,zone_1,86,0.812
surge,zone_1,87,0.812
surge,zone_1,88,0.812
surge,zone_1,89,0.812
surge,zone_1,90,0.812
surge,zone_1,91,0.812
surge,zone_1,92,0.812
surge,zone_1,93,0.812
surge,zone_1,94,0.812
surge,zone_1,95,0.812
surge,zone_2,0,0.796
surge,zone_2,1,0.796
surge,zone_2,2,0.796
surge,zone_2,3,0.796
surge,zone_2,4,0.796
surge,zone_2,5,0.796
surge,zone_2,6,0.796
surge,zone_2,7,0.796
surge,zone_2,8,0.796
surge,zone_2,9,0.796
surge,zone_2,10,0.796
surge,zone_2,11,0.796
surge,zone_2,12,0.796
surge,zone_2,13,0.796
surge,zone_2,14,0.796
surge,zone_2,15,0.796
surge,zone_2,16,0.796
surge,zone_2,17,0.796
surge,zone_2,18,0.796
surge,zone_2,19,0.796
surge,zone_2,20,0.796
surge,zone_2,21,0.796
surge,zone_2,22,0.796
surge,zone_2,23,0.796
surge,zone_2,24,0.759
surge,zone_2,25,0.759
surge,zone_2,26,0.759
surge,zone_2,27,0.759
surge,zone_2,28,0.759
surge,zone_2,29,0.759
surge,zone_2,30,0.759
surge,zone_2,31,0.759
surge,zone_2,32,0.759
surge,zone_2,33,0.759
surge,zone_2,34,0.759
surge,zone_2,35,0.759
surge,zone_2,36,0.759
surge,zone_2,37,0.759
surge,zone_2,38,0.759
surge,zone_2,39,0.759
surge,zone_2,40,0.759
surge,zone_2,41,0.759
surge,zone_2,42,0.759
surge,zone_2,43,0.759
surge,zone_2,44,0.759
surge,zone_2,45,0.759
surge,zone_2,46,0.759
surge,zone_2,47,0.759
surge,zone_2,48,0.759
surge,zone_2,49,0.759
surge,zone_2,50,0.759
surge,zone_2,51,0.759
surge,zone_2,52,0.759
surge,zone_2,53,0.759
surge,zone_2,54,0.759
surge,zone_2,55,0.759
surge,zone_2,56,0.759
surge,zone_2,57,0.759
surge,zone_2,58,0.759
surge,zone_2,59,0.759
surge,zone_2,60,0.759
surge,zone_2,61,0.759
surge,zone_2,62,0.759
surge,zone_2,63,0.759
surge,zone_2,64,0.759
surge,zone_2,65,0.759
surge,zone_2,66,0.759
surge,zone_2,67,0.759
surge,zone_2,68,0.759
surge,zone_2,69,0.759
surge,zone_2,70,0.759
surge,zone_2,71,0.759
surge,zone_2,72,0.759
surge,zone_2,73,0.759
surge,zone_2,74,0.759
surge,zone_2,75,0.759
surge,zone_2,76,0.759
surge,zone_2,77,0.759
surge,zone_2,78,0.759
surge,zone_2,79,0.759
surge,zone_2,80,0.796
surge,zone_2,81,0.796
surge,zone_2,82,0.796
surge,zone_2,83,0.796
surge,zone_2,84,0.796
surge,zone_2,85,0.796
surge,zone_2,86,0.796
surge,zone_2,87,0.796
surge,zone_2,88,0.796
surge,zone_2,89,0.796
surge,zone_2,90,0.796
surge,zone_2,91,0.796
surge,zone_2,92,0.796
surge,zone_2,93,0.796
surge,zone_2,94,0.796
surge,zone_2,95,0.796
surge,zone_3,0,0.738
surge,zone_3,1,0.737
surge,zone_3,2,0.737
surge,zone_3,3,0.737
surge,zone_3,4,0.737
surge,zone_3,5,0.737
surge,zone_3,6,0.737
surge,zone_3,7,0.737
surge,zone_3,8,0.737
surge,zone_3,9,0.737
surge,zone_3,10,0.737
surge,zone_3,11,0.737
surge,zone_3,12,0.737
surge,zone_3,13,0.737
surge,zone_3,14,0.737
surge,zone_3,15,0.737
surge,zone_3,16,0.737
surge,zone_3,17,0.737
surge,zone_3,18,0.737
surge,zone_3,19,0.737
surge,zone_3,20,0.737
surge,zone_3,21,0.737
surge,zone_3,22,0.737
surge,zone_3,23,0.737
surge,zone_3,24,0.627
surge,zone_3,25,0.627
surge,zone_3,26,0.627
surge,zone_3,27,0.627
surge,zone_3,28,0.627
surge,zone_3,29,0.627
surge,zone_3,30,0.627
surge,zone_3,31,0.627
surge,zone_3,32,0.627
surge,zone_3,33,0.627
surge,zone_3,34,0.627
surge,zone_3,35,0.627
surge,zone_3,36,0.627
surge,zone_3,37,0.627
surge,zone_3,38,0.627
surge,zone_3,39,0.627
surge,zone_3,40,0.627
surge,zone_3,41,0.627
surge,zone_3,42,0.627
surge,zone_3,43,0.627
surge,zone_3,44,0.627
surge,zone_3,45,0.627
surge,zone_3,46,0.627
surge,zone_3,47,0.627
surge,zone_3,48,0.627
